question;reponse;reponse
Hopital de Croix Rousse. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré de satisfaction de 0 à 10 (0: Pas satisfait du tout et 10 : extrêmement satisfait), si vous avez un  commentaire, mettez le dans un 2e sms;186;Le professeur a l'intelligence de se mettre au niveau des malades  Et le personnel soignant qui s'est occupé de moi à été très professionnel, à l'écoute et d'une  très grande gentillesse
Hopital de Croix Rousse. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré de satisfaction de 0 à 10 (0: Pas satisfait du tout et 10 : extrêmement satisfait), si vous avez un  commentaire, mettez le dans un 2e sms;137;Beaucoup d'attente : 40 mn pour un brancardier après un scanner   60 mn pour un médecin pour sortie après une intervention en ambulatoire
Si vous avez pris votre traitement anti-douleur répondez PRIS à ce sms . Sinon prenez votre traitement maintenant et renvoyez une évaluation de votre douleur dans 45 min selon l'échelle de 0 à 10 communiquée précédemment;43;Ma note après traitement anti douleur 1/10.
Merci de votre réponse. Pouvez-vous nous envoyer seulement un chiffre de 0 à 5. Si vous avez un commentaire, mettez-le dans un 2e sms;121;Vous êtes toutes et tous à l écoute de vos patients et très gentilles et gentils merci à vous et bon courage merci encore
Pouvez-vous nous faire un commentaire sur la gestion de votre rendez-vous et la prise en charge de votre enfant pendant l’examen;22;Prise en charge rapide
Hopital de Croix Rousse. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré de satisfaction de 0 à 10 (0: Pas satisfait du tout et 10 : extrêmement satisfait), si vous avez un  commentaire, mettez le dans un 2e sms;24;Degré de satisfaction 10
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;25;Saged renvoie moi un Uber
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;73;Non j'ai pas vu le médecin j'ai passé le irm  Mes jesuis  trés  satisfait
Hopital privé Sainte-Jane: Merci d'évaluer la clarté des informations transmises lors de votre sortie, de 1 à 10 (1: pas du tout clair - 10 : extrêmement clair);80;Bonjour je vous mets la note de 10 tout c est bien passé , je vous remercie tous
Merci de votre réponse. Votre avis est important pour le servic : vous pouvez ajouter un commentaire si vous le souhaitez;54;Deux heures d'attente une fois prête pour l'opération.
Centre F. Baclesse : Evaluez votre prise en charge sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extremement satisfait);65;Prise en charge à 4/10. en cause la durée d'attente, de 12 à 15h.
"Etes-vous satisfait de votre séjour  en Chirurgie Ambulatoire? Merci de répondre un chiffre de 0 à 5  (0:pas satisfait du tout ; 5:extremement satisfait)";46;En espérant que vous avez bien reçu le message
Hopital de Croix Rousse. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré de satisfaction de 0 à 10 (0: Pas satisfait du tout et 10 : extrêmement satisfait), si vous avez un  commentaire, mettez le dans un 2e sms;111;Équipe médicale très disponible, très compétente, super rassurante. Excellente prise en charge. Hôpital au top.
Pouvez-vous nous faire un commentaire sur la gestion de votre rendez-vous et la prise en charge de votre enfant pendant l’examen;57;extremement je suis satisfait à 10/10. Bien cordialement.
Merci de votre réponse. Votre avis compte pour le service, pouvez-vous nous en dire plus sur votre prise en charge ? ;164;Oui, le nouveau gastroentérologue, le De BAZIN, me semble trés bien. J'espére qu'il restera et que l'on évite un turn over important. Le rendez-vous a été ponctuel.
"Etes-vous satisfait de votre séjour  en Chirurgie Ambulatoire? Merci de répondre un chiffre de 0 à 5  (0:pas satisfait du tout ; 5:extremement satisfait)";67;5 merci à vous de votre gentillesse à toutes et à tous monsieur DOE
Merci de votre réponse. Votre avis compte pour le service, pouvez-vous nous en dire plus sur votre prise en charge ? ;70;Prise en charge rapide, explications claires, personnels bienveillants
Merci de votre réponse. Votre avis est important pour le service, vous pouvez ajouter un commentaire si vous le souhaitez;23;Personnel trés agréable
CHU d'Angers :  Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait). Si vous avez un commentaire, mettez le dans un 2e SMS;79;Je viens d'avoir  une grosse  douleur  dans la poitrine  j ai pris un doliprane
Hopital Cochin : Evaluez votre passage au service d'endoscopie digestive de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);22;Extremement satisfait.
Pouvez-vous nous indiquer le type de difficulté que vous rencontrez ?;56;Comme l'autre fois pas d'identifiant pas de mot de passe
Cliquez sur ce lien pour remplir les questionnaires **/google_form**/ Pouvez-vous nous faire un commentaire sur la gestion de votre rendez-vous et la prise en charge de votre enfant pendant l’examen;55;ça s'est bien passé et les personnels étaient à l'école
Nous vous attendons le **/date_convocation**/ **/couleur**/. Merci de respecter les consignes données lors de la consultation d'anesthésie;203;Bonjour j'ai RDV le mardi 18 juin à 8h30 à l'hôpital rothschild 29 rue Manin merci de me confirmer l'heure ou le taxi viendra me récupérer à mon domicile merci beaucoup et bon week-end à vous Mr doe John
Nous vous attendons le **/date_convocation**/. Depuis l'accueil, suivez la ligne verte, 2eme étage. Respectez les consignes données lors de la consultation d'anesthésie;108;Il faut que je me présente à 14h à l hôpital rotchild  Tu peux venir me chercher le matin le mardi 18  Bises
Apportez pièce d'identité, carte vitale, attestation mutuelle, les consentements opératoires et anesthésiques (mineur: signés par les 2 parents) et vos examens. Pas d'accompagnant autorisé, sauf patient mineur. Si besoin contactez le 01.00.00.00.00;29;Bonjour, le rdv a été annulé.
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;37;Bonjour oui tout va bien merci à vous
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;94;pouvez vous me donner le formulaire pour postuler a un stage, le lien envoye ne fonctionne pas
CH Chartres : Nous vous attendons à l'unité de chirurgie ambulatoire de l'hôpital John Pasteur le **/heure_convocation**/ Si un test PCR vous a été demandé et que ce dernier est positif ou que vous n’en avez pas le résultat répondez PCR Si vous avez un empêchement ou un problème de santé, répondez ALERTE;93;Bonjour, pouvez vous me précisez mon heure de rdv pour lundi 17 en ambulatoire ? Cordialement
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;183;En tapant et lisant tout le texte prise en charge en ambulatoire, je ne sais pas continuer car je n'ai plus rien J'ai essayé par Ramsay je bloque sur l'identifiant Quoi mettre ? MERCI
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;33;le lien fournit ne fonctionne pas
Si vous avez pris votre traitement anti-douleur répondez PRIS à ce sms . Sinon prenez votre traitement maintenant et renvoyez une évaluation de votre douleur dans 45 min selon l'échelle de 0 à 10 communiquée précédemment;23;J'ai pris un Doliprane.
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;100;Bonjour je suis étudiant et je suis a la recherche d'un stage, comment est il possible de postuler ?
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;16;0 pas de douleur
Prenez vos médicaments selon les consignes reçues et apportez le matériel qui vous a été prescrit (béquilles, bandes de contention …);34;Daniele Port Mobile 01.00.00.00.00
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital de la Pitié Salpetrière ? Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);40;Oui bien reçu personnel sympa chiffre 10
Si vous avez pris votre traitement anti-douleur répondez PRIS à ce sms . Sinon prenez votre traitement maintenant et renvoyez une évaluation de votre douleur dans 45 min selon l'échelle de 0 à 10 communiquée précédemment;33;Quel traitement anti douleur svp?
Bonjour, votre heure d'entrée vient d'être modifiée - Vous devez arriver à 10 h 15 le 17/06/24 - merci de nous confirmer que vous avez bien reçu ce sms -;14;J'ai bien reçu
Bonjour, votre heure d'entrée vient d'être modifiée - vous devez arriver à 9 h 45 le 17/06/24 - merci de nous confirmer que vous avez bien eu ce sms -;77;Bonjour, Je vous confirme avoir reçu la modification de l'horaire 9h45. Merci
Hopital Avicenne : Afin d'améliorer la qualité de notre prise en charge, indiquez votre satisfaction sur une échelle de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);67;ntaine, la douleur 2 je me sens mieux merci beaucoup pour vos messa
Hopital Avicenne : Afin d'améliorer la qualité de notre prise en charge, indiquez votre satisfaction sur une échelle de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);67;Bonjour désolé j'avais rendez vous avec Dr CHONSUI hôpital de la fo
Hopital John Debré : Evaluez votre passage dans le service de radiologie sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);43;10  rapide et et le personnelle accueillant
Ne mettez ni bijoux, ni piercing, ni vernis à ongles, ni maquillage, ni creme. Prenez vos médicaments selon les consignes reçues et apportez le matériel s'il vous a été prescrit (béquilles, bas de contention, …). Apportez vos papiers d'identité, radios et examens si demandés;67;J'ai annulé le rdv avec le Dr Démouché  de vive voix John Nottebart
Un accompagnant est obligatoire pour la sortie mais ne pourra rester pendant le séjour. Il sera prévenu de l'horaire de sortie à votre arrivée;25;Emp?chement voir Doctolib
Hopital John Debré : Evaluez votre passage dans le service de radiologie sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);31;10 extrêmement satisfait. Merci
Merci de votre réponse.  Si vous avez un commentaire, mettez le dans un 2eme SMS;170;Satisfaite pour la prise en charge du patient  personnels attentifs surtout lorsque qu une personne comme  tres fatiguee  stressée, leur aide à été précieuse. Merci à eux
Pole de santé du Villeneuvois: évaluez votre prise en charge sur une échelle de 1 à 5 (1: pas satisfait du tout 5: très satisfait) Cette note concerne les soins et les informations transmises par le médecin et l'équipe soignante;286;Très satisfait de mon court passage au PSV, par l'accueil à tous les niveaux, par la qualité des soins et des locaux, malgré le problème (national) d'effectifs.  Soyons fiers d'avoir un tel hôpital.  J'y ai effectué, l'an dernier plusieurs séjours assez ongs et mon avis ne change pas .
Hopital port Royal : Nous vous attendons à l'unité de chirurgie ambulatoire, batiment Port Royal, rez de jardin le **/date_demarrage**/;30;Je pense que c' est une erreur
super bon courage portez vous bien;36;Merci pour votre acceuil bon courage
Vous n'avez répondu à aucun message. Répondez-y maintenant ou si tout va bien, répondez TVB;16;Oui tout va bien
Hopital Port Royal : évaluez la satisfaction de votre séjour en chirurgie ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait);35;10, je suis extrêmement satisfaite.
Vous n'avez répondu à aucun message, répondez y maintenant. Si tout va bien répondez maintenant TVB;161;TVB mais quelques petites douleurs côté gauche du bas du ventre pas de nausée ni vomissement ni vertige pas de saignement important  note pr la douleur 2 sur 10.
Merci pour votre confiance. Votre satisfaction étant notre priorité, nous vous invitons à nous laisser un avis 5 étoiles sur notre page GOOGLE via le lien ci-dessous : https://example.com;29;Merci beaucoup, Bonne journée
Votre hospitalisation est prévue le **/date_demarrage_date**/ à l'hopital de la Pitié Salpetrière à l'institut du coeur. En cas d'empechement, répondez ALERTE à ce sms;157;Hospitalisation annulée par le Dr Choussat pose de Stent pas nécessaire pour le moment. Consultation avec le Dr Choussat en Décembre. Suis étonnée que ce RDV
Nous vous souhaitons un bon rétablissement. N'oubliez pas le RDV post-opératoire;38;10 satisfait très bien cela va   merci
bonjour le ( juillet n est pas un rendez vous de radio mais un rdv post operatoire avec votre chirurgien si vous avez besoin de changer la date voyez directement avec la consultation au 01.00.00.00.00 la radio est a faire et a ramener lors de votre consultation bon apres midi;55;Bonjour j'ai deplace au lundi 8 juillet à 14h55 du coup
Prenez et apportez vos traitements en cours, votre ordonnance, votre questionnaire d’anesthésie et la fiche de confiance remplis;71;questionnaire et fiche de confiance déposés avec le dossier d'admission
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 60 min.;25;J'ai mal au coté Vésicule
Vous n'avez répondu à aucun message. Répondez-y maintenant ou si tout va bien, répondez TVB;27;Merci pour tout ..JM Gillet
Vous n'avez répondu à aucun message. Répondez-y maintenant ou si tout va bien, répondez TVB;12;Tout va bien
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;22;adresse mail praticien
"Sur une échelle de 0 à 10, recommanderiez vous la Clinique Avicenne ? (0 très peu probable; 10 très probable)";15;Oui , avec un 9
CH Valenciennes  : Bonjour, nous vous attendons à l'unité de chirurgie ambulatoire, 1er étage batiment John John le **/date_demarrage_date**/ à **/heure_convocation**/. Un accompagnant est obligatoire pour votre sortie et votre 1re nuit post-opératoire à domicile. Si vous avez un empechement ou un problème de santé, répondez ALERTE;104;Bien reçu votre message serait présent . Par contre pas d'ordonnance pour matériel prescrit cordialement
Hopital Port Royal : évaluez la satisfaction de votre séjour en chirurgie ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait);62;10 service parfait comme toujours à Cochinð¥. John LHuillier
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire? Merci de répondre un chiffre de 0 à 10 (0 : pas satisfait du tout- 10 : extremement satisfait). L'équipe de chirurgie ambulatoire vous souhaite un bon rétablissement;17;9    merci à tous
"Sur une échelle de 0 à 10, recommanderiez vous la Clinique Avicenne ? (0 très peu probable; 10 très probable)";16;10 très probable
Vous n'avez répondu à notre précédent SMS. Si tout va bien répondez TVB, sinon répondez AID. Pour toute urgence vitale, faites le 15 ou rendez vous aux urgences. Nous attendons une réponse de votre part avant 13H30;17;Désolée !!! TVB !
Apportez votre passeport ambulatoire compléte et signé, vos radios, examens, l'ordonnance des traitements habituels et ordonnances d'antalgiques. Prenez vos médicaments selon les consignes recues;14;Merci, à lundi
Apportez votre passeport ambulatoire compléte et signé, vos radios, examens, l'ordonnance des traitements habituels et ordonnances d'antalgiques. Prenez vos médicaments selon les consignes recues;25;Message bien reçu. Merci.
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB.;42;Bjr .tout va très bien, désolé je dormais.
Le service Ambulatoire de l'hopital Privé Parly 2 le Chesnay vous attend à l'étage **/lieu_convocation**/ le **/date_convocation**/. Un accompagnant est indispensable pour la sortie. En cas d'empechement, répondez ALERTE à ce sms;48;Bonjour voici les 2 messages reçu. Bonne journée
Prenez vos médicaments selon les consignes recues et apportez le matériel prescrit.;57;ALERTE je ne suis pas la bonne destinataire de ce message
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;134;Bonjour cela fait plusieurs fois que j'appelle a 01.00.00.00.00 pour régler une facture mais j'ai toujours le répondeur, comment faire
Hopital Saint-John : Votre suivi par SMS est terminé. En cas de question médicale, vous pouvez joindre le 01.00.00.00.00 de 8h30 à 17h du lundi au vendredi. En cas de question administrative, consultez votre convocation pour y trouver le numéro du secrétariat de votre chirurgien;122;Bonjour, vous avez recu un mail pour finaliser la création de votre compte. Votre identifiant IPP à conserver est 11111111
Fondation Rothschild (Paris 19e) : Pour rappel, nous vous attendons le **/date_convocation**/ et merci de ne plus manger à partir de **/jeunsolide**/, de boire seulement de l’eau jusqu’à  **/jeunliquide**/ et de prendre votre DOUCHE le matin;57;ALERTE Je ne comprends pas car je ne dois pas être opérée
Fondation Rothschild (Paris 19e) : Pour rappel, nous vous attendons le **/date_convocation**/ et merci de ne plus manger à partir de **/jeunsolide**/, de boire seulement de l’eau jusqu’à  **/jeunliquide**/ et de prendre votre DOUCHE le matin;50;Je ne comprends pas car je ne dois pas être opérée
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 20h. En dehors de ces horaires appelez le 15;61;Merci bon courage à vous et félicitations pour votre travail.
Hopital Fondation Rothschild (Paris 19e) : Votre opération est prévue le **/date_intervention_date**/. En cas d'empechement ou de problème répondez ALERTE. En cas d'annulation, il est impératif de répondre pour permettre à un autre patient de bénéficier de ce créneau;28;Très bien je serais là merci
Fondation Rothschild (Paris 19e) : Pour rappel, nous vous attendons le **/date_convocation**/ et merci de ne plus manger à partir de **/jeunsolide**/, de boire seulement de l’eau jusqu’à  **/jeunliquide**/ et de prendre votre DOUCHE le matin;19;Merci, bien compris
Hopital Lariboisière : Votre opération est prévue le **/date_demarrage_date**/. Vous recevrez une confirmation de l'heure de convocation la veille. Si vous avez un empechement ou un problème de santé, répondez ALERTE;24;Merci oui , tout va bien
Merci de votre réponse, pouvez-vous nous en dire plus ?;504;Tout c'est très bien passé, sans attente longue. Bon accueil, bonne organisation et enchaînement des actes (même la radio finale qui n'a pas demandée trop d'attente comme la fois précédente) Un petit bémol déjà signalé lors de la 1ère operation : Les 3 fauteuils dans la chambre avant passage au bloc sont très serrés et difficiles à manier. Et surtout, il n'y a pas de chaise dans le cabinet de toilette qui permettrait de se déshabiller dans des conditions a peu près correctes... Bien cordialement  TE
Pensez à suivre les instructions liées à votre purge. Ne pas manger, ne pas fumer à partir de **/jeune_solides**/. Vous pouvez boire, uniquement votre purge, jusqu'à  **/jeune_liquides**/;12;Merci à vous
Au cours des 7 derniers jours, si vous avez eu un de ces signes, répondez seulement OUI, Sinon répondez seulement NON : - Fièvre, sensation de grippe ou courbatures - Toux ou essoufflement inhabituel - Mal de tete inhabituel ou perte de l'odorat ou du gout;54;Salut j'ai appelé les ambulanciers pour donner l'heure
CHU RENNES : Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;54;14h22: Ça va de mieux en mieux. Poursuite des gouttes.
Bonjour, cela ne devrait durer qu'une semaine. Continuez de prendre vos anti douleur de façon systématique.;73;Merci à vous j ai un peu dégonflé de la mâchoire - passez un bon week-end
merci et prenez soin de vous;14;merci beaucoup
Nous n'avons pas recu de réponse à notre précédent message - Suite à votre intervention à la clinique du Mousseau, si tout va bien, répondez TVB sinon répondez AID;21;Si tout vá bien merci
Vous n'avez pas répondu au message précédent, si tout va bien répondez TVB sinon répondez AID;14;Ok c bon merci
CH Valenciennes  : Bonjour, nous vous attendons à l'unité de chirurgie ambulatoire, 1er étage batiment John John le **/date_demarrage_date**/ à **/heure_convocation**/. Un accompagnant est obligatoire pour votre sortie et votre 1re nuit post-opératoire à domicile. Si vous avez un empechement ou un problème de santé, répondez ALERTE;57;L'operation est prévue à quelle heure le savez-vous merci
Vous n'avez répondu à aucun message, merci d'y répondre maintenant. Si tout va bien répondez TVB;18;TVB merci beaucoup
Apportez vos résultats d'examens et vos ordonnances. N'oubliez pas votre pièce d'identité, vos documents de consentements ou d'autorisation d'opérer, ainsi que les dispositifs médicaux prescrits. Respectez impérativement les consignes préopératoires relatives à vos médicaments et à votre intervention ;28;Bien reçu, à lundi.  JL IMBS
Apportez vos radios, examens et documents figurants sur votre passeport ambulatoire. N'oubliez pas la fiche de consentement éclairé et l'autorisation d'opérer pour les mineurs et les majeurs protégés. Prenez vos médicaments selon les consignes reçues ;20;Erreur de numéro !!!
"Evaluez votre douleur d'aujourd'hui sur une échelle de 0 à 10 et répondez simplement par un chiffre (0 : pas de douleur ; 10 : douleur insupportable)";97;"Bjr, votre opérée aimerait savoir si elle peut prendre "" Exomyl"" 7 mlg ( somnifère) pour dormir ?"
Vous n'avez répondu à aucun message. Répondez-y maintenant ou si tout va bien, répondez TVB;20;Douleurs abdominales
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;21;J'ai déjà répondu TVB
Bonjour,;13;A  5 au moins
Si une dépilation a été demandée par votre chirurgien, faites la aujourd’hui à l’aide d’une crème dépilatoire;85;Pourriez vous svp m'envoyer un bon de transport Pour le mardi 18 06 24 merci d'avance
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;34;http://bit. l'y/preadmission-HPP2.
Vous n'avez répondu si tout va bien, répondez TVB, sinon répondez AID;64;Une personne de votre service a contacté mon épouse..... TVB....
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au **/msg_coord1**/ de 07:00 à 19:00 du lundi au vendredi. En dehors de ces horaires, contactez les numéros indiqués sur la feuille de consigne post opératoire;17;OK merci beaucoup
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital de la Pitié Salpetrière ? Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);30;Encore merci à toute l' équipe
Vous n'avez répondu à aucun sms. Répondez-y maintenant ou si tout va bien, répondez TVB;24;TVB Pour l'instant Merci
Avez-vous consulté votre médecin traitant ou les urgences depuis votre intervention ? Merci de répondre uniquement par OUI ou NON;25;Puis-je vous appeler ð
Pour toute question ou problème URGENT : n'utilisez pas les sms, APPELEZ NOUS AU 01.00.00.00.00 24h/24. En dehors d'une urgence, vous pouvez également appeler l'infirmière de coordination de chirurgie dont le numéro est agrafé sur la pochette de sortie;91;NVO légéres nausées pas de vomissement SNG en me brossant les dents AUTRE oreilles bouchées
Pour toute question ou problème vous pouvez appeler la chirurgie ambulatoire au 01.00.00.00.00 du lundi au vendredi de 8h à 18h. En dehors de ces horaires, le weekend et jours fériés, contactez les numéros indiqués sur la pochette de sortie;18;TVB. / douleur : 0
Au cours des 7 derniers jours, si vous avez eu un de ces signes, répondez seulement OUI, Sinon répondez seulement NON : - Fièvre, sensation de grippe ou courbatures - Toux ou essoufflement inhabituel - Mal de tete inhabituel ou perte de l'odorat ou du gout;123;Madame ok non je suis en bonne forme ok j'y serai un peu avent je vous souhaite une excellente après midi madame et a mardi
Vous n'avez pas répondu au dernier message, si tout va bien répondez TVB maintenant Sinon vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi (7h-19h) et au  01.00.00.00.00 en dehors de ces horaires;27;Excusez moi : tout est ok !
Vous n'avez pas répondu au dernier message, si tout va bien répondez TVB maintenant Sinon vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi (7h-19h) et au  01.00.00.00.00 en dehors de ces horaires;29;Excusez moi non tout est ok !
Suite à votre intervention à l'HEGP, si tout va bien répondez TVB sinon répondez AID;11;TVB . Merci
Pontchaillou : Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;17;TVB sauf vertiges
Prenez une douche le matin de l'intervention Ne mettez ni bijoux, ni piercing, ni vernis, ni maquillage. N'oubliez pas votre passeport ambulatoire ainsi que l'ensemble des informations concernant votre prise en charge chirurgicale;159;Oui. J'ai demandé à reporter l'intervention pour octobre ou novembre, suite à des problèmes de cœur. Je revois le cardiologue le 3 juillet. Merci  Cordialement
Vous n'avez répondu à aucun SMS. Répondez y maintenant, ou si tout va bien répondez TVB.;248;Le deuxième pansement au niveau de mon sein gauche est imprégné de sang, taché mon soutien gorge quand je suis rentrée hier de la clinique. J'ai aussi des douleurs à ce niveau là. Tout va bien pour l'instant au niveau de mon aisselle gauche. Merci.
Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 9h à 19h en semaine. En dehors de ces horaires, et le week-end et jours fériés, consultez le livret d'accueil ambulatoire;56;R sultats du scanner   suivre d bit semaine prochaine  .
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;33;Douleur se calme avec médicaments
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;13;Mal de gorges
Vous n'avez pas répondu : ce questionnaire va être clôturé. En cas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;11;Bonjour TVB
Vous n'avez pas répondu, si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;11;Parfait tvb
Vous n'avez répondu à aucun sms. Répondez-y maintenant ou si tout va bien, répondez TVB;51;J'ai l'infirmière qui passe demain il va bien merci
Vous n'avez répondu à aucun sms. Répondez-y maintenant ou si tout va bien, répondez TVB;177;Bonjour J'ai reçu le message hier je me sentais pas très bien mais aujourd'hui tout va bien j'ai une dernière qui va passer demain matin j'ai un peu de douleur sinon ça va merci
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;33;Tout va bien merci d'avoir appelé
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;60;Pas bien je vous remercie tout va bien excusez-moi du retard
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;18;Tout va bien merci
Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 9h à 19h en semaine. En dehors de ces horaires, et le week-end et jours fériés, consultez le livret d'accueil ambulatoire;12;Tout va bien
Vous n'avez pas répondu, si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;38;TVB merci  (envoyé avec leffet Voyant)
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;22;J'ai déjà dit ALERTE !
Hopital Cochin : dans le cadre de votre examen vous devez débuter votre régime sans résidu aujourd'hui;16;Merci c'est fait
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;41;Je SOUTIENS LE SERVICE PUBLIC  Jane Llech
Merci de votre réponse. Pour toute question ou problème vous référer au chirurgien;22;Merci et bonne journée
Vous n'avez pas répondu au message précédent, si tout va bien répondez TVB, sinon répondez AID;19;TVB. Merci beaucoup
Hôpital Claude Galien : Bonjour, vous êtes attendu le **/date_demarrage**/ pour votre intervention. Présentez-vous aux admissions avec carte d’identité et vos examens (radio, bilan sanguin, carte de groupe). Si l'intervention concerne votre enfant, assurez-vous que l'autorisation d'opérer soit signée par les deux parents. Pour toute information ou désistement, veuillez contacter le secrétariat de votre chirurgien;61;Bonjour, je ne suis pas la bonne personne. Merci Jane JOZWIAK
Si vous avez des nausées, des vomissements ou des vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG;16;0 pas de douleur
CH privé du Montgardé : suite à votre intervention, si tout va bien répondez TVB, en cas de problème médical répondez AID;11;TVB. Merci.
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;21;Problème de connexion
Merci de votre réponse. En cas de problème, vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 19h. En dehors de ces horaires, veuillez vous référer aux numéros de téléphones inscrit au dos du passeport ambulatoire;19;Merci, c'est gentil
Merci du retour portez-vous l'équipe de chirurgie ambulatoire;82;Il faudrai changer ma date de radio par contre du 5 juillet car je ne serai pas là
Vous n'avez répondu si tout va bien, répondez TVB, sinon répondez AID;16;T v b Merci bien
Hopital Tenon : évaluez votre séjour en Chirurgie Ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait);18;10 merci pour tout
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;87;Bonjour ça va tout va bien pour le moment juste ce sont mes testicules qui sont enflées
Nous n'avons pas recu de réponse à notre précédent message - Suite à votre intervention à la Clinique Villeneuve-Saint-John, si tout va bien, répondez TVB sinon répondez AID;94;Tout ne va pas bien et j'attends mon rdv avec le Dr Mohand John, cet ap-midi à Lieusaint. Cdlt
Prenez votre traitement habituel en fonction des consignes données par le chirurgien. Pensez à rapporter votre traitement habituel, vos ordonnances et résultats d'examens. Ne restez pas à jeun;49;Oui, je serai au rdv du KB, lundi 17 juin à 10h15
Hopital Cochin  Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le  dans un 2e SMS;114;trés bon accueil avec l'infirmiére et toute l'équipe. trés satisfaite de ma prise en charge et de mon intervention
Si vous avez un empechement ou un problème de santé, répondez ALERTE;54;Je n'ai pas reçu d'explication concernant la bethadine
